ingredient_name,category_id,category_name,quantity_kg,shelf_life_days,calories_per_100,purchase_days_ago,days_until_expiry,storage_location,storage_temp_c,waste_quantity_kg,waste_ratio,risk_level,risk_code,consumption_frequency,user_is_vegetarian,waste_reason
Oriz,5,Drithëra,1.2,365,130,140,225,Raft,20.0,0.169,0.141,low,0,3,1,expired
Domate,1,Perime,1.03,7,18,3,9,Raft,20.0,0.352,0.342,low,0,1,0,other
Lakër,1,Perime,4.55,14,25,4,7,Kuzhinë,20.0,1.388,0.305,medium,1,11,0,spoiled
Speca,1,Perime,9.58,10,31,5,3,Frigorifer,4.0,2.031,0.212,medium,1,13,0,overcooked
Majdanoz,6,Erëza,3.51,5,36,2,0,Kuzhinë,20.0,2.022,0.576,high,2,3,0,overcooked
Kos,4,Bulmet,2.0,7,61,1,3,Ngrirës,-18.0,0.232,0.116,medium,1,10,0,spoiled
Majdanoz,6,Erëza,1.1,5,36,2,7,Qilar,20.0,0.227,0.206,medium,1,12,0,overcooked
Bukë,5,Drithëra,9.37,3,265,0,2,Raft,20.0,4.61,0.492,high,2,8,0,other
Mish pule,3,Mish,2.77,3,165,1,4,Ngrirës,-18.0,1.227,0.443,medium,1,2,0,other
Mollë,2,Fruta,0.76,21,52,18,5,Ngrirës,-18.0,0.063,0.083,medium,1,16,1,other
Spinaq,1,Perime,2.72,5,23,1,9,Kuzhinë,20.0,0.0,0,low,0,19,1,none
Portokall,2,Fruta,2.27,14,47,2,17,Kuzhinë,20.0,0.091,0.04,low,0,3,0,none
Majdanoz,6,Erëza,1.19,5,36,5,-1,Frigorifer,4.0,0.763,0.641,high,2,13,1,other
Qumësht,4,Bulmet,2.59,5,42,4,-2,Frigorifer,4.0,1.16,0.448,high,2,18,0,overcooked
Karrota,1,Perime,3.01,30,41,5,29,Qilar,20.0,1.023,0.34,low,0,17,0,expired
Majdanoz,6,Erëza,6.29,5,36,5,5,Raft,20.0,1.918,0.305,medium,1,7,0,overcooked
Vaj ulliri,6,Erëza,1.7,365,884,271,91,Frigorifer,4.0,0.0,0,low,0,12,0,none
Lakër,1,Perime,0.67,14,25,14,-2,Frigorifer,4.0,0.334,0.499,high,2,16,0,spoiled
Spinaq,1,Perime,6.63,5,23,4,0,Kuzhinë,20.0,3.786,0.571,high,2,7,0,overcooked
Mish pule,3,Mish,9.95,3,165,2,5,Raft,20.0,6.0,0.603,medium,1,15,0,spoiled
Lakër,1,Perime,0.73,14,25,0,19,Frigorifer,4.0,0.082,0.113,low,0,2,0,expired
Qepë,1,Perime,8.61,30,40,2,33,Ngrirës,-18.0,1.765,0.205,low,0,9,1,spoiled
Djathë,4,Bulmet,1.41,14,264,14,4,Kuzhinë,20.0,0.433,0.307,medium,1,7,0,expired
Pasta,5,Drithëra,4.37,365,131,216,152,Kuzhinë,20.0,1.18,0.27,low,0,2,0,expired
Mish pule,3,Mish,7.31,3,165,0,3,Ngrirës,-18.0,2.683,0.367,medium,1,14,0,overcooked
Vezë,3,Mish,2.57,21,155,2,23,Raft,20.0,0.704,0.274,low,0,4,0,expired
Patate,1,Perime,9.27,45,77,15,29,Kuzhinë,20.0,0.0,0,low,0,2,0,none
